#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         213    -3.77626    -3.77583  8.1285e-05
         214    -3.77818    -3.77585 8.16416e-05
         215    -3.77567    -3.77584 8.12658e-05
         216    -3.77546    -3.77584 8.09091e-05
         217    -3.77743    -3.77585 8.08658e-05
         218    -3.77558    -3.77585 8.05041e-05
         219    -3.77496    -3.77584 8.02397e-05
         220    -3.77322    -3.77583 8.07537e-05
         221    -3.77391    -3.77582 8.08546e-05
         222    -3.77346    -3.77581 8.11904e-05
         223     -3.7752    -3.77581 8.08724e-05
         224    -3.77716    -3.77582 8.07351e-05
         225    -3.77497    -3.77581 8.04639e-05
         226    -3.77552    -3.77581  8.0118e-05
         227    -3.77495    -3.77581  7.9854e-05
         228    -3.77602    -3.77581  7.9509e-05
         229    -3.77336     -3.7758 7.98759e-05
         230    -3.77642     -3.7758 7.95742e-05
         231    -3.77502     -3.7758 7.93006e-05
         232    -3.77564     -3.7758 7.89616e-05
         233    -3.77428    -3.77579 7.88911e-05
         234    -3.77568    -3.77579 7.85553e-05
         235     -3.7767    -3.77579 7.83159e-05
         236     -3.7758    -3.77579 7.79841e-05
         237    -3.77449    -3.77579 7.78475e-05
         238    -3.77551    -3.77579 7.75294e-05
         239    -3.77345    -3.77578 7.78197e-05
         240    -3.77465    -3.77577 7.76375e-05
         241    -3.77634    -3.77577 7.73504e-05
         242    -3.77482    -3.77577 7.71324e-05
         243    -3.77592    -3.77577 7.68174e-05
         244    -3.77539    -3.77577 7.65182e-05
         245    -3.77627    -3.77577  7.6233e-05
         246    -3.77465    -3.77577 7.60589e-05
         247    -3.77349    -3.77576  7.6309e-05
         248    -3.77397    -3.77575 7.63413e-05
         249    -3.77617    -3.77575 7.60533e-05
         250    -3.77565    -3.77575 7.57502e-05
